worker-cpu-1       | [2026-08-25 23:05:02,559: INFO/ForkPoolWorker-4] Task tasks.proxy.create_proxy[3270b997-2e2f-4d8f-af36-e3c75440e082] succeeded in 48.240187469054945s: None
worker-cpu-1       | [2026-08-25 23:05:02,797: INFO/MainProcess] Task tasks.proxy.create_proxy[f0520739-481a-4a51-8aea-6ae2216b9194] received
api-1              | INFO:     172.18.0.12:51518 - "GET /api/jobs?media_id=f79ee055-1742-4870-a4b6-d8ed14fb846b HTTP/1.1" 200 OK
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:05:02 +0000] "GET /api/jobs?media_id=f79ee055-1742-4870-a4b6-d8ed14fb846b HTTP/1.1" 200 15486 "https://ai.obtv.io/library/f79ee055-1742-4870-a4b6-d8ed14fb846b" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
api-1              | INFO:     172.18.0.12:51548 - "GET /api/projects HTTP/1.1" 200 OK
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:05:04 +0000] "GET /api/projects HTTP/1.1" 200 2 "https://ai.obtv.io/library" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
api-1              | INFO:     172.18.0.12:51536 - "GET /api/folders HTTP/1.1" 200 OK
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:05:04 +0000] "GET /api/folders HTTP/1.1" 200 5584 "https://ai.obtv.io/library" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
api-1              | INFO:     172.18.0.12:51534 - "GET /api/media?sort=created_desc&limit=60&offset=0 HTTP/1.1" 200 OK
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:05:04 +0000] "GET /api/media?sort=created_desc&limit=60&offset=0 HTTP/1.1" 200 83839 "https://ai.obtv.io/library" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
api-1              | INFO:     172.18.0.12:51562 - "GET /api/thumbnails/3bdb0677-7391-43ab-aff4-fa4b3e9da273.jpg HTTP/1.1" 200 OK
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:05:04 +0000] "GET /api/thumbnails/3bdb0677-7391-43ab-aff4-fa4b3e9da273.jpg HTTP/1.1" 200 30007 "https://ai.obtv.io/library" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
worker-gpu-2-1     | [2026-08-25 23:05:05,237: INFO/ForkPoolWorker-1] Task tasks.florence_caption.caption_scenes[680abd52-7116-4611-ba47-931b894213c1] succeeded in 60.92669631901663s: None
api-1              | INFO:     172.18.0.12:48518 - "GET /api/thumbnails/sprite_0bb0e325-c733-4090-a0cc-33abc54a5490.jpg HTTP/1.1" 200 OK
worker-gpu-2-1     | [2026-08-25 23:05:05,402: INFO/MainProcess] Task tasks.identify.identify_people[4f3595fb-fda0-4cc3-99e7-b68fc9cb3648] received
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:05:05 +0000] "GET /api/thumbnails/sprite_0bb0e325-c733-4090-a0cc-33abc54a5490.jpg HTTP/1.1" 200 4956090 "https://ai.obtv.io/library" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
api-1              | INFO:     127.0.0.1:55024 - "GET /api/healthz HTTP/1.1" 200 OK
api-1              | INFO:     172.18.0.12:48520 - "GET /api/thumbnails/sprite_1f9a86af-26bc-422d-91b1-8fd12abaee9b.jpg HTTP/1.1" 200 OK
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:05:06 +0000] "GET /api/thumbnails/sprite_1f9a86af-26bc-422d-91b1-8fd12abaee9b.jpg HTTP/1.1" 200 5328443 "https://ai.obtv.io/library" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
api-1              | INFO:     172.18.0.12:48536 - "GET /api/thumbnails/sprite_254fcb52-04f4-47a4-a890-80b0d923ad5b.jpg HTTP/1.1" 200 OK
api-1              | INFO:     172.18.0.12:48550 - "GET /api/thumbnails/sprite_2a1e143c-ffe6-4eaf-8911-7259514353d9.jpg HTTP/1.1" 200 OK
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:05:07 +0000] "GET /api/thumbnails/sprite_254fcb52-04f4-47a4-a890-80b0d923ad5b.jpg HTTP/1.1" 200 4667896 "https://ai.obtv.io/library" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:05:07 +0000] "GET /api/thumbnails/sprite_2a1e143c-ffe6-4eaf-8911-7259514353d9.jpg HTTP/1.1" 200 4237966 "https://ai.obtv.io/library" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
api-1              | INFO:     172.18.0.12:48564 - "GET /api/media?sort=created_desc&limit=60&offset=60 HTTP/1.1" 200 OK
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:05:08 +0000] "GET /api/media?sort=created_desc&limit=60&offset=60 HTTP/1.1" 200 473448 "https://ai.obtv.io/library" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
api-1              | INFO:     172.18.0.12:48568 - "GET /api/thumbnails/sprite_4fe968c7-86ea-4ee3-8a6d-5cc5b078bf4b.jpg HTTP/1.1" 200 OK
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:05:08 +0000] "GET /api/thumbnails/sprite_4fe968c7-86ea-4ee3-8a6d-5cc5b078bf4b.jpg HTTP/1.1" 200 4641322 "https://ai.obtv.io/library" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
api-1              | INFO:     172.18.0.12:48578 - "GET /api/thumbnails/sprite_e38a4b48-366f-474b-a144-49ece135e12e.jpg HTTP/1.1" 200 OK
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:05:11 +0000] "GET /api/thumbnails/sprite_e38a4b48-366f-474b-a144-49ece135e12e.jpg HTTP/1.1" 200 6325129 "https://ai.obtv.io/library" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
api-1              | INFO:     172.18.0.12:48580 - "GET /api/thumbnails/sprite_ba38c941-65bc-4e9f-bc4e-d3744644b17d.jpg HTTP/1.1" 200 OK
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:05:12 +0000] "GET /api/thumbnails/sprite_ba38c941-65bc-4e9f-bc4e-d3744644b17d.jpg HTTP/1.1" 200 5396785 "https://ai.obtv.io/library" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
api-1              | INFO:     172.18.0.12:48600 - "GET /api/media/ba38c941-65bc-4e9f-bc4e-d3744644b17d/markers HTTP/1.1" 200 OK
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:05:12 +0000] "GET /api/media/ba38c941-65bc-4e9f-bc4e-d3744644b17d/markers HTTP/1.1" 200 2 "https://ai.obtv.io/library/ba38c941-65bc-4e9f-bc4e-d3744644b17d" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
api-1              | INFO:     172.18.0.12:48620 - "GET /api/jobs?media_id=ba38c941-65bc-4e9f-bc4e-d3744644b17d HTTP/1.1" 200 OK
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:05:12 +0000] "GET /api/jobs?media_id=ba38c941-65bc-4e9f-bc4e-d3744644b17d HTTP/1.1" 200 7711 "https://ai.obtv.io/library/ba38c941-65bc-4e9f-bc4e-d3744644b17d" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
api-1              | INFO:     172.18.0.12:48588 - "GET /api/media/ba38c941-65bc-4e9f-bc4e-d3744644b17d/scenes HTTP/1.1" 200 OK
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:05:12 +0000] "GET /api/media/ba38c941-65bc-4e9f-bc4e-d3744644b17d/scenes HTTP/1.1" 200 216053 "https://ai.obtv.io/library/ba38c941-65bc-4e9f-bc4e-d3744644b17d" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
api-1              | INFO:     172.18.0.12:48612 - "GET /api/media/ba38c941-65bc-4e9f-bc4e-d3744644b17d/transcript HTTP/1.1" 200 OK
frontend-1         | 192.168.200.193 - - [25/Aug/2026:23:05:12 +0000] "GET /api/media/ba38c941-65bc-4e9f-bc4e-d3744644b17d/transcript HTTP/1.1" 200 180824 "https://ai.obtv.io/library/ba38c941-65bc-4e9f-bc4e-d3744644b17d" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
